Business Priority,Relevant quotes from casefiles (Verbatim),ID & Sender
Patient Care,"""exceptional patient care""",5.1 Willa Herzog
Data Privacy,"""impeccable protection of customer privacy""",5.1 Willa Herzog
Product Innovation,"""innovative software development for delivering that exceptional patient care""",5.1 Willa Herzog
Operational Continuity,"""Everybody on my floor is reporting the patient record server isn't responding anymore.""",1.1 Stacy Miller
Financial Stability,"""This incident is costing us thousands of dollars in lost revenue each day.""",5.1 Willa Herzog
Brand Reputation,"""Don’t even get me started on the damage to our reputation and customer trust!""",5.1 Willa Herzog
Asset Security,"""How on earth did we not have our assets properly protected AND backed up?""",5.1 Willa Herzog
Proactive Detection,"""Don’t we have security monitoring set up to detect this stuff BEFORE it impacts our bottom line?""",5.1 Willa Herzog
Information Integrity,"""the patient data server is going to be offline for the foreseeable future. It has been encrypted with ransomware.""",1.3 Shanice Campbell
Regulatory Risk,"""We need to document everything for the HHS. The potential HIPAA fines alone could exceed $850,000""",3.7 Ashley Jones
