3.6.3,3.6.3
Business Priority,Relevant quote from casefile
Exceptional Patient Care,"""exceptional patient care"" 5.1 "
Data Privacy,"""impeccable protection of customer privacy"" 5.1 "
Product Innovation,"""innovative software development for delivering that exceptional patient care"" 5.1 "
Reputation & Trust,"""Don’t even get me started on the damage to our reputation and customer trust!"" 5.1 "
Asset Security,"""How on earth did we not have our assets properly protected AND backed up?"" 5.1 "
Proactive Detection,"""Don’t we have security monitoring set up to detect this stuff BEFORE it impacts our bottom line?"" 5.1 "
Financial Revenue,"""This incident is costing us thousands of dollars in lost revenue each day."" 5.1 "
Investor Accountability,"""Investors need answers."" 5.1 "
